Country ISO3,Country,Year,ISIC Division,ISIC Division Desc,Measure,Value LCU,Value USD
ARG,Argentina,2004,23,Manufacture of other non-metallic mineral products,Current prices,3602380000.0,1232300000.0
ARG,Argentina,2004,24,Manufacture of basic metals,Current prices,8868710000.0,3033800000.0
ARG,Argentina,2004,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,12810180000.0,4382100000.0
ARG,Argentina,2004,29-30,Manufacture of transport equipment,Current prices,5250250000.0,1796000000.0
ARG,Argentina,2005,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,32263150000.0,11111200000.0
ARG,Argentina,2005,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,10864620000.0,3741700000.0
ARG,Argentina,2005,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,2484660000.0,855700000.0
ARG,Argentina,2005,17-18,Manufacture of paper products and printing,Current prices,7939770000.0,2734400000.0
ARG,Argentina,2005,19,Manufacture of coke and refined petroleum products,Current prices,5834030000.0,2009200000.0
ARG,Argentina,2005,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,14622540000.0,5035900000.0
ARG,Argentina,2005,22,Manufacture of rubber and plastics products,Current prices,5552960000.0,1912400000.0
ARG,Argentina,2005,23,Manufacture of other non-metallic mineral products,Current prices,4469310000.0,1539200000.0
ARG,Argentina,2005,24,Manufacture of basic metals,Current prices,10449400000.0,3598700000.0
ARG,Argentina,2005,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,15598750000.0,5372100000.0
ARG,Argentina,2005,29-30,Manufacture of transport equipment,Current prices,6941200000.0,2390500000.0
ARG,Argentina,2006,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,37533800000.0,12288800000.0
ARG,Argentina,2006,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,12380340000.0,4053400000.0
ARG,Argentina,2006,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,3063170000.0,1002900000.0
ARG,Argentina,2006,17-18,Manufacture of paper products and printing,Current prices,9574650000.0,3134800000.0
ARG,Argentina,2006,19,Manufacture of coke and refined petroleum products,Current prices,6043560000.0,1978700000.0
ARG,Argentina,2006,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,17100470000.000002,5598800000.0
ARG,Argentina,2006,22,Manufacture of rubber and plastics products,Current prices,6294320000.0,2060800000.0000002
ARG,Argentina,2006,23,Manufacture of other non-metallic mineral products,Current prices,5909780000.0,1934900000.0
ARG,Argentina,2006,24,Manufacture of basic metals,Current prices,12586200000.0,4120800000.0
ARG,Argentina,2006,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,20251910000.0,6630600000.0
ARG,Argentina,2006,29-30,Manufacture of transport equipment,Current prices,9023040000.0,2954200000.0
ARG,Argentina,2007,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,46158620000.0,14910800000.0
ARG,Argentina,2007,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,14504050000.0,4685300000.0
ARG,Argentina,2007,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,3473320000.0,1122000000.0
ARG,Argentina,2007,17-18,Manufacture of paper products and printing,Current prices,11836530000.0,3823600000.0
ARG,Argentina,2007,19,Manufacture of coke and refined petroleum products,Current prices,6890920000.0,2226000000.0
ARG,Argentina,2007,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,19232340000.0,6212700000.0
ARG,Argentina,2007,22,Manufacture of rubber and plastics products,Current prices,7662660000.0,2475300000.0
ARG,Argentina,2007,23,Manufacture of other non-metallic mineral products,Current prices,7194600000.0,2324100000.0
ARG,Argentina,2007,24,Manufacture of basic metals,Current prices,13505080000.0,4362600000.0
ARG,Argentina,2007,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,26079610000.0,8424600000.0
ARG,Argentina,2007,29-30,Manufacture of transport equipment,Current prices,11079640000.0,3579100000.0
ARG,Argentina,2008,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,61415510000.0,19533200000.0
ARG,Argentina,2008,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,16137720000.0,5132600000.0
