Country,Ind Code,Average USD Growth
Australia,A,0.03506659574327954
Australia,B,0.00710451740867908
Australia,C,0.0369762827345254
Australia,D,0.003754356090328808
Australia,E,0.06370301004817103
Australia,F,0.04493327053150872
Australia,G,0.027291439759180254
Australia,H,0.06184740709987778
Australia,I,0.0038913411939713993
Australia,J,0.04464872101410529
Australia,K,0.02129748704287861
Austria,A,0.043627157932526514
Austria,B,-0.008597564316085838
Austria,C,0.04500039027315286
Austria,D,0.014944194641214999
Austria,E,8.124380761555493
Austria,F,0.05446223892327812
Austria,G,0.0449278168698289
Austria,H,0.026122088473863627
Austria,I,0.060959174208682035
Austria,J,0.05705565127861664
Austria,K,0.0638648442009148
Austria,L,0.02942838411296086
Belgium,A,0.0422548606973302
Belgium,B,-0.011986132421257296
Belgium,C,0.039520844269647915
Belgium,D,0.005214213736461994
Belgium,E,0.11313856538406432
Belgium,F,0.05205576307236168
Belgium,G,0.03488129154577147
Belgium,H,0.026767144741458533
Belgium,I,0.02871544672132761
Belgium,J,0.02020365489062489
Belgium,K,0.00819630098675859
Belgium,L,0.023858655339329855
Brazil,A,0.12546311920679892
Brazil,B,0.05317317617154512
Brazil,C,0.05929835884464549
Brazil,D,0.07162166660375355
Brazil,E,-0.0005468744708146153
Brazil,F,0.07836109652114444
Brazil,G,0.09396460491697674
Brazil,H,0.08028530809762252
Brazil,I,0.13126417036486693
Brazil,J,0.0615195934128422
Brazil,K,0.10002066185997613
Brazil,L,0.0603098041667176
Brunei Darussalam,A,0.07074879204636102
Brunei Darussalam,B,0.0459216643321546
Brunei Darussalam,C,0.06882238745293225
Brunei Darussalam,D,0.06021285013717767
Brunei Darussalam,E,0.08370939629084262
Brunei Darussalam,F,0.1327195104202733
Brunei Darussalam,G,0.07708458242225372
Brunei Darussalam,H,0.07969499155926758
Brunei Darussalam,I,0.07765378366131429
Brunei Darussalam,J,0.07474136652687982
Brunei Darussalam,K,0.07589223463632956
Bulgaria,A,0.10996555331949111
Bulgaria,B,0.09522638196946492
Bulgaria,C,0.1329435071867964
Bulgaria,D,0.142504765091276
Bulgaria,E,-0.1565265535142388
Bulgaria,F,0.08914913601991581
Bulgaria,G,0.17007475107525682
Bulgaria,H,0.14308491346996555
Bulgaria,I,0.11556536476158169
Bulgaria,J,0.14861122740392987
Bulgaria,K,0.1652089971695793
Bulgaria,L,0.1725493782842672
Cambodia,A,0.11883005336672382
Cambodia,B,0.10623696240201251
Cambodia,C,0.1067278122369995
Cambodia,D,0.1476249920537574
Cambodia,E,0.13803296977014834
Cambodia,F,0.13724303609728425
Cambodia,G,0.13789722664962295
Cambodia,H,0.11796666772251574
Cambodia,I,0.09674193232097449
Cambodia,J,0.1133216409763244
Cambodia,K,0.11579686116823258
Canada,A,0.03513154672173566
Canada,B,-0.045770764734734744
Canada,C,0.014861914251206889
Canada,D,-0.006693177413184333
Canada,E,0.12351081305275878
Canada,F,0.036067119057869336
Canada,G,0.021134848041127134
Canada,H,0.03897189150988015
Canada,I,0.029900158774224576
Canada,J,0.01574534678707781
Canada,K,-0.007497759666817729
Canada,L,-0.006610025763534078
Chile,A,0.08643335833626097
Chile,B,-0.007038500765432011
Chile,C,0.05280105588341285
Chile,D,0.06250047731116379
Chile,E,0.15494960380941458
Chile,F,0.065703957193434
Chile,G,0.2843544316524236
Chile,H,0.07380069603859739
Chile,I,0.09064153236673927
Chile,J,0.16870712822032563
Chile,K,0.18421804472673065
China,A,0.1265836729525511
China,B,0.11474564204101403
China,C,0.1483151219733837
China,D,0.1331031978159857
China,E,0.13259470715335875
China,F,0.14539434670923881
China,G,0.1398846530034438
China,H,0.16352343043092665
China,I,0.18078780653443974
China,J,0.13692468577274786
China,K,0.13285129960755349
Chinese Taipei,A,0.04204306064585509
Chinese Taipei,B,0.02089438312557517
Chinese Taipei,C,0.023250895303301006
Chinese Taipei,D,0.028113162720328592
Chinese Taipei,E,0.02130219684278226
Chinese Taipei,F,0.050010432370672944
Chinese Taipei,G,0.04814660109231279
Chinese Taipei,H,0.03714940001542533
Chinese Taipei,I,0.0397477665777835
Chinese Taipei,J,0.0448166912697348
Chinese Taipei,K,0.03749159760576675
Colombia,A,0.046406410855417295
Colombia,B,0.03365046399114269
Colombia,C,0.06427472054851274
Colombia,D,0.049202730256658715
Colombia,E,0.15503496984829904
Colombia,F,0.06851474392209979
Colombia,G,0.03987713796669442
Colombia,H,0.07735738028319672
Colombia,I,0.10276474515979328
Colombia,J,0.14373706384467866
Colombia,K,0.06753860240736108
Colombia,L,0.03557407841126892
