Country ISO3,Country,Year,ISIC Division,ISIC Division Desc,Measure,Method,Value LCU (million national currency),Value USD (million USD)
,ASEAN,2005,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,4462.6
,ASEAN,2005,17-18,Manufacture of paper products and printing,Current prices,Source,0,7158.6
,ASEAN,2005,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,21697.1
,ASEAN,2005,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,22680.1
,ASEAN,2005,22,Manufacture of rubber and plastics products,Current prices,Source,0,7376.8
,ASEAN,2005,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,7976.8
,ASEAN,2005,24,Manufacture of basic metals,Current prices,Source,0,7926
,ASEAN,2005,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,60097.5
,ASEAN,2005,29-30,Manufacture of transport equipment,Current prices,Source,0,19195.1
,ASEAN,2006,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,53926.4
,ASEAN,2006,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,24297.5
,ASEAN,2006,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,5445.6
,ASEAN,2006,17-18,Manufacture of paper products and printing,Current prices,Source,0,8544.3
,ASEAN,2006,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,26685.3
,ASEAN,2006,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,26595.7
,ASEAN,2006,22,Manufacture of rubber and plastics products,Current prices,Source,0,9368.7
,ASEAN,2006,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,9058.7
,ASEAN,2006,24,Manufacture of basic metals,Current prices,Source,0,9274.7
,ASEAN,2006,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,70250.3
,ASEAN,2006,29-30,Manufacture of transport equipment,Current prices,Source,0,22413.1
,ASEAN,2007,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,64759.4
,ASEAN,2007,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,27907
,ASEAN,2007,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,6303.8
,ASEAN,2007,17-18,Manufacture of paper products and printing,Current prices,Source,0,9948.1
,ASEAN,2007,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,31113.9
,ASEAN,2007,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,31452.1
,ASEAN,2007,22,Manufacture of rubber and plastics products,Current prices,Source,0,10911.7
,ASEAN,2007,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,10732.3
,ASEAN,2007,24,Manufacture of basic metals,Current prices,Source,0,10540.8
,ASEAN,2007,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,83023
,ASEAN,2007,29-30,Manufacture of transport equipment,Current prices,Source,0,26519.5
,ASEAN,2008,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,78523.2
,ASEAN,2008,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,34474.7
,ASEAN,2008,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,7316.7
,ASEAN,2008,17-18,Manufacture of paper products and printing,Current prices,Source,0,11659
,ASEAN,2008,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,35982.4
,ASEAN,2008,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,35956.4
,ASEAN,2008,22,Manufacture of rubber and plastics products,Current prices,Source,0,13012.8
,ASEAN,2008,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,12181.9
,ASEAN,2008,24,Manufacture of basic metals,Current prices,Source,0,12489.5
,ASEAN,2008,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,92676.4
,ASEAN,2008,29-30,Manufacture of transport equipment,Current prices,Source,0,30348
,ASEAN,2009,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,78307.7
,ASEAN,2009,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,34310.3
,ASEAN,2009,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,7272.4
,ASEAN,2009,17-18,Manufacture of paper products and printing,Current prices,Source,0,11530.6
,ASEAN,2009,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,35701.5
,ASEAN,2009,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,35645.8
,ASEAN,2009,22,Manufacture of rubber and plastics products,Current prices,Source,0,12854.1
,ASEAN,2009,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,12164.6
,ASEAN,2009,24,Manufacture of basic metals,Current prices,Source,0,11211.3
,ASEAN,2009,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,90858
,ASEAN,2009,29-30,Manufacture of transport equipment,Current prices,Source,0,30383.4
,ASEAN,2010,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,94598.8
,ASEAN,2010,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,40662.5
,ASEAN,2010,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,8832.4
,ASEAN,2010,17-18,Manufacture of paper products and printing,Current prices,Source,0,14059.9
,ASEAN,2010,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,43890.6
,ASEAN,2010,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,43671.8
,ASEAN,2010,22,Manufacture of rubber and plastics products,Current prices,Source,0,15574.3
,ASEAN,2010,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,14574.6
,ASEAN,2010,24,Manufacture of basic metals,Current prices,Source,0,13485.8
,ASEAN,2010,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,111095.4
,ASEAN,2010,29-30,Manufacture of transport equipment,Current prices,Source,0,37252
,ASEAN,2011,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,107287.6
,ASEAN,2011,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,46396.5
,ASEAN,2011,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,9945.9
,ASEAN,2011,17-18,Manufacture of paper products and printing,Current prices,Source,0,15341.4
,ASEAN,2011,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,51790.9
,ASEAN,2011,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,47421
,ASEAN,2011,22,Manufacture of rubber and plastics products,Current prices,Source,0,17885.3
,ASEAN,2011,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,16540
,ASEAN,2011,24,Manufacture of basic metals,Current prices,Source,0,15094.3
,ASEAN,2011,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,114338.3
,ASEAN,2011,29-30,Manufacture of transport equipment,Current prices,Source,0,44953
,ASEAN,2012,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,113482.8
,ASEAN,2012,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,49575.8
,ASEAN,2012,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,9982.6
,ASEAN,2012,17-18,Manufacture of paper products and printing,Current prices,Source,0,16092.2
,ASEAN,2012,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,52523.9
,ASEAN,2012,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,50543.9
,ASEAN,2012,22,Manufacture of rubber and plastics products,Current prices,Source,0,18527.4
,ASEAN,2012,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,17827.4
,ASEAN,2012,24,Manufacture of basic metals,Current prices,Source,0,16006.8
,ASEAN,2012,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,121691
,ASEAN,2012,29-30,Manufacture of transport equipment,Current prices,Source,0,47180.1
,ASEAN,2013,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,115930.3
,ASEAN,2013,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,53176.6
,ASEAN,2013,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,10170
,ASEAN,2013,17-18,Manufacture of paper products and printing,Current prices,Source,0,16529.1
,ASEAN,2013,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,51859.2
,ASEAN,2013,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,52563.3
,ASEAN,2013,22,Manufacture of rubber and plastics products,Current prices,Source,0,18754.2
,ASEAN,2013,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,18587
,ASEAN,2013,24,Manufacture of basic metals,Current prices,Source,0,16509.5
,ASEAN,2013,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,127928.9
